name,mnemonic,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,Not classified
Erewash,E07000036,7168,15782,11028,7117,7585,13232,12253,3591,4853
High Peak,E07000037,7525,14733,8070,7351,5397,9882,7437,2400,4594
North East Derbyshire,E07000038,6435,15047,9843,7435,5824,11809,10110,2899,4058
South Derbyshire,E07000039,7553,14877,8806,6394,6183,10512,8651,2211,4263
Blaby,E07000129,7255,15326,10615,6983,5229,9125,7759,1867,4399
Charnwood,E07000130,13248,24327,14964,10381,8790,16042,13447,4228,19540
Harborough,E07000131,8888,15713,8444,7379,3852,6787,5613,1370,3867
Hinckley and Bosworth,E07000132,8245,16870,10751,7982,6220,10527,10483,2302,4336
Melton,E07000133,4107,8109,4345,4107,3061,5711,4392,952,2171
North West Leicestershire,E07000134,7105,13987,8652,6452,5801,10193,9840,2353,4173
Oadby and Wigston,E07000135,4281,7963,6028,3492,2741,5364,4390,1493,5045
Boston,E07000136,2385,7318,4885,4550,4429,10479,8578,2291,2391
East Lindsey,E07000137,5878,18458,11042,13508,8887,18387,14103,4671,4994
Lincoln,E07000138,4606,11972,7788,4935,5500,12301,9211,4080,11184
North Kesteven,E07000139,7672,18529,11386,8150,6447,11842,8069,2234,4287
South Holland,E07000140,4253,11077,7301,7424,5909,12120,10420,2408,3008
South Kesteven,E07000141,10214,21805,12647,9892,7806,15207,11136,3082,5530
West Lindsey,E07000142,6010,14487,8350,7143,5376,10114,7461,2770,3820
Corby,E07000150,2546,6850,4955,2818,4486,8689,10110,1875,2720
Daventry,E07000151,7193,13440,7581,6443,4007,6900,6706,1679,3430
East Northamptonshire,E07000152,6525,14029,8304,6637,4726,8616,8443,1842,3884
Kettering,E07000153,6329,14444,9074,6353,5222,10328,9799,2595,3776
Northampton,E07000154,13467,30944,22365,12468,10852,22124,21490,7981,13991
South Northamptonshire,E07000155,8747,15836,9001,7540,4040,7027,5505,1191,3434
Wellingborough,E07000156,4464,10535,7460,4607,4269,8364,9223,2699,3196
Ashfield,E07000170,5247,14348,10852,7243,8465,15711,16822,4628,4721
Bassetlaw,E07000171,6221,15767,9362,7608,7590,14749,12972,4234,4802
Broxtowe,E07000172,10034,17111,10968,6476,6189,11472,9457,3078,6788
Gedling,E07000173,8184,18727,12439,8005,6369,11929,9229,3287,5115
Mansfield,E07000174,4512,13323,9167,6184,7206,13735,14248,4345,4435
Newark and Sherwood,E07000175,8001,17283,9890,8402,6828,13304,11828,3475,5134
Rushcliffe,E07000176,14513,21385,10256,7611,4356,8028,5495,2099,7012
"Herefordshire, County of",E06000019,12422,28435,14959,19384,9488,21656,14558,4773,7767
Shropshire,E06000051,22028,49365,27074,29255,16613,34114,24094,7681,13668
Stoke-on-Trent,E06000021,8842,25963,21031,13370,15206,32604,36037,13244,16511
Telford and Wrekin,E06000020,10095,22886,15346,9022,10410,21016,17392,6701,9411
Cannock Chase,E07000192,4690,13147,9292,7016,6575,12666,11075,3446,4367
East Staffordshire,E07000193,7419,15903,9612,7496,6929,13849,12488,4166,5197
Lichfield,E07000194,9036,17774,9717,7718,5346,10021,8065,2622,4458
Newcastle-under-Lyme,E07000195,7933,16928,11233,7598,7093,14202,13240,3618,10490
