Counting.Officer,Region,Estimated.time.for.completing.the.verification,Estimated.time.for.completing.the.count,Datetime,GSSCode,MatchName
Dundee City,Scotland,12.30am,2.30am,2016-06-24 02:30:00,S12000042,Dundee City
Harlow,Eastern,12.30am,2.30am,2016-06-24 02:30:00,E07000073,Harlow
Havant,South Eastern,12.30am,2.30am,2016-06-24 02:30:00,E07000090,Havant
Hertsmere,Eastern,12.30am,2.30am,2016-06-24 02:30:00,E07000098,Hertsmere
High Peak,East Midlands,12.30am,2.30am,2016-06-24 02:30:00,E07000037,High Peak
Hyndburn,North West,1.00am,2.30am,2016-06-24 02:30:00,E07000120,Hyndburn
Isle of Anglesey,Wales,12.30am,2.30am,2016-06-24 02:30:00,W06000001,Anglesey
Lambeth,London,1.00am,2.30am,2016-06-24 02:30:00,E09000022,Lambeth
Lincoln,East Midlands,12.00am ,2.30am,2016-06-24 02:30:00,E07000138,Lincoln
North Dorset,South West,12.30am,2.30am,2016-06-24 02:30:00,E07000050,North Dorset
North Lanarkshire,Scotland,12.30am ,2.30am,2016-06-24 02:30:00,S12000044,North Lanarkshire
Ribble Valley,North West,1.00am,2.30am,2016-06-24 02:30:00,E07000124,Ribble Valley
Rugby,West Midlands,12.30am,2.30am,2016-06-24 02:30:00,E07000220,Rugby
Rushmoor,South Eastern,1.00am,2.30am,2016-06-24 02:30:00,E07000092,Rushmoor
South Lakeland,North West,1.30am,2.30am,2016-06-24 02:30:00,E07000031,South Lakeland
St. Helens,North West,11.30pm,2.30am,2016-06-24 02:30:00,E08000013,St. Helens
Staffordshire Moorlands,West Midlands,12.30am,2.30am,2016-06-24 02:30:00,E07000198,Staffordshire Moorlands
Swansea,Wales,12.00am,2.30am,2016-06-24 02:30:00,W06000011,Swansea
Woking,South Eastern,1.00am,2.30am,2016-06-24 02:30:00,E07000217,Woking
Angus,Scotland,12.30am,2.30am ,2016-06-24 02:30:00,S12000041,Angus
Darlington,North East,12:30am ,2.30am ,2016-06-24 02:30:00,E06000005,Darlington
Watford,Eastern,2.00am,3-.00-4.00am,2016-06-24 04:00:00,E07000103,Watford
East Londonderry,Northern Ireland,1:30am,3:00am,2016-06-24 03:00:00,NA,NA
Orkney Islands,Scotland,2:00am,3:00am,2016-06-24 03:00:00,S12000023,Orkney Islands
Corby,East Midlands,1.00-1.30am ,3:30- 4.00am,2016-06-24 04:00:00,E07000150,Corby
Fermanagh and South Tyrone,Northern Ireland,2:15am,3:30am,2016-06-24 03:30:00,NA,NA
Newry and Armagh,Northern Ireland,1:45am,3:30am,2016-06-24 03:30:00,NA,NA
South Down,Northern Ireland,2:15am,3:30am,2016-06-24 03:30:00,NA,NA
Sutton,London,11.30pm - 12.00am,3.00-3.30am,2016-06-24 03:30:00,E09000029,Sutton
Tandridge,South Eastern,1.00-1.30am,3.00-3.30am,2016-06-24 03:30:00,E07000215,Tandridge
Telford & Wrekin,West Midlands,1.00-1.30am,3.00-3.30am,2016-06-24 03:30:00,E06000020,Telford and Wrekin
Hammersmith & Fulham,London,1.00-1.30am ,3.00-3.30am ,2016-06-24 03:30:00,E09000013,Hammersmith and Fulham
Gateshead,North East,1.30am,3.00-4.00am,2016-06-24 04:00:00,E08000037,Gateshead
Tower Hamlets,London,1.00-1.30am,3.00-4.00am,2016-06-24 04:00:00,E09000030,Tower Hamlets
Tunbridge Wells,South Eastern,1.00am,3.00-4.00am,2016-06-24 04:00:00,E07000116,Tunbridge Wells
Worcester,West Midlands,2.00am,3.00-4.00am,2016-06-24 04:00:00,E07000237,Worcester
Basingstoke & Deane,South Eastern,12.00am ,3.00-4.00am ,2016-06-24 04:00:00,E07000084,Basingstoke and Deane
Harrow,London,1.00am ,3.00-4.00am ,2016-06-24 04:00:00,E09000015,Harrow
Thurrock,Eastern,11.30pm,3.00-4.00am ,2016-06-24 04:00:00,E06000034,Thurrock
Barnsley,Yorkshire & Humber,1.00am,3.00am,2016-06-24 03:00:00,E08000016,Barnsley
Bolton,North West,12.30am,3.00am,2016-06-24 03:00:00,E08000001,Bolton
Boston,East Midlands,12.00am.,3.00am,2016-06-24 03:00:00,E07000136,Boston
Bracknell Forest,South Eastern,12.30am,3.00am,2016-06-24 03:00:00,E06000036,Bracknell Forest
Bridgend,Wales,1.00am,3.00am,2016-06-24 03:00:00,W06000013,Bridgend
Bury,North West,12.30am,3.00am,2016-06-24 03:00:00,E08000002,Bury
Cambridge,Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000008,Cambridge
Camden,London,1.00am,3.00am,2016-06-24 03:00:00,E09000007,Camden
Cannock Chase,West Midlands,12.30am,3.00am,2016-06-24 03:00:00,E07000192,Cannock Chase
Charnwood,East Midlands,1.00am ,3.00am,2016-06-24 03:00:00,E07000130,Charnwood
Chelmsford,Eastern,12.30am,3.00am,2016-06-24 03:00:00,E07000070,Chelmsford
Chesterfield,East Midlands,1.00am,3.00am,2016-06-24 03:00:00,E07000034,Chesterfield
Chorley,North West,1.00am,3.00am,2016-06-24 03:00:00,E07000118,Chorley
Colchester,Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000071,Colchester
Copeland,North West,1.00am,3.00am,2016-06-24 03:00:00,E07000029,Copeland
Dacorum,Eastern,12.00am ,3.00am,2016-06-24 03:00:00,E07000096,Dacorum
Durham,North East,1.00am,3.00am,2016-06-24 03:00:00,E06000047,County Durham
East Lothian,Scotland,1.00am,3.00am,2016-06-24 03:00:00,S12000010,East Lothian
Eastleigh,South Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000086,Eastleigh
Enfield,London,1.00am,3.00am,2016-06-24 03:00:00,E09000010,Enfield
Epsom and Ewell,South Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000208,Epsom and Ewell
Exeter,South West,1.00am,3.00am,2016-06-24 03:00:00,E07000041,Exeter
Fylde,North West,1.30am,3.00am,2016-06-24 03:00:00,E07000119,Fylde
Gosport,South Eastern,12.30am,3.00am,2016-06-24 03:00:00,E07000088,Gosport
Gwynedd,Wales,2.00am,3.00am,2016-06-24 03:00:00,W06000002,Gwynedd
Haringey,London,1.30am,3.00am,2016-06-24 03:00:00,E09000014,Haringey
Hastings,South Eastern ,1.00am,3.00am,2016-06-24 03:00:00,E07000062,Hastings
Inverclyde,Scotland,12.00am ,3.00am,2016-06-24 03:00:00,S12000018,Inverclyde
Knowsley,North West,1.00am,3.00am,2016-06-24 03:00:00,E08000011,Knowsley
Maidstone,South Eastern,12.00am ,3.00am,2016-06-24 03:00:00,E07000110,Maidstone
Mid Suffolk,Eastern,2.00am,3.00am,2016-06-24 03:00:00,E07000203,Mid Suffolk
Midlothian,Scotland,12.45am,3.00am,2016-06-24 03:00:00,S12000019,Midlothian
Milton-Keynes,South Eastern,12.30am,3.00am,2016-06-24 03:00:00,E06000042,Milton Keynes
Monmouthshire,Wales,12.30am,3.00am,2016-06-24 03:00:00,W06000021,Monmouthshire
Moray,Scotland,1.30am,3.00am,2016-06-24 03:00:00,S12000020,Moray
New Forest,South Eastern,1.00am,3.00am,2016-06-24 03:00:00,E07000091,New Forest
Newham,London,1.00am,3.00am,2016-06-24 03:00:00,E09000025,Newham
North Devon,South West,1.45am,3.00am,2016-06-24 03:00:00,E07000043,North Devon
North East Lincolnshire,Yorkshire & Humber,1.00am,3.00am,2016-06-24 03:00:00,E06000012,North East Lincolnshire
North West Leicestershire,East Midlands,1.00am,3.00am,2016-06-24 03:00:00,E07000134,North West Leicestershire
