Counting.Officer,Region,Estimated.time.for.completing.the.verification,Estimated.time.for.completing.the.count,Datetime,GSSCode,MatchName
Tonbridge & Malling,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000115,Tonbridge and Malling
Wakefield,Yorkshire & Humber,2.00am,4.00am,2016-06-24 04:00:00,E08000036,Wakefield
Waltham Forest,London,12.00am ,4.00am,2016-06-24 04:00:00,E09000031,Waltham Forest
Waverley,South Eastern,2.00am,4.00am,2016-06-24 04:00:00,E07000216,Waverley
West Dorset,South West,2.00am,4.00am,2016-06-24 04:00:00,E07000052,West Dorset
West Lancashire,North West,1.30am,4.00am,2016-06-24 04:00:00,E07000127,West Lancashire
Wirral,North West,2.00am,4.00am,2016-06-24 04:00:00,E08000015,Wirral
Wolverhampton,West Midlands,2.00am,4.00am,2016-06-24 04:00:00,E08000031,Wolverhampton
Wyre Forest,West Midlands,1.00am,4.00am,2016-06-24 04:00:00,E07000239,Wyre Forest
York,Yorkshire & Humber,2.00am,4.00am,2016-06-24 04:00:00,E06000014,York
Blackpool,North West,1.00am,4.00am ,2016-06-24 04:00:00,E06000009,Blackpool
Bolsover,East Midlands,1.00am,4.00am ,2016-06-24 04:00:00,E07000033,Bolsover
Canterbury,South Eastern,3.00am ,4.00am ,2016-06-24 04:00:00,E07000106,Canterbury
Lewisham,London,1.30 - 2.00am ,4.00am ,2016-06-24 04:00:00,E09000023,Lewisham
Rotherham,Yorkshire & Humber,2.00am ,4.00am ,2016-06-24 04:00:00,E08000018,Rotherham
Solihull,West Midlands,2.00am ,4.00am ,2016-06-24 04:00:00,E08000029,Solihull
Swale,South Eastern,1.00am ,4.00am ,2016-06-24 04:00:00,E07000113,Swale
Horsham,South Eastern,1.30am,4.00am  ,2016-06-24 04:00:00,E07000227,Horsham
Kirklees,Yorkshire & Humber,2.30am,4.30-5.00am,2016-06-24 05:00:00,E08000034,Kirklees
Aylesbury Vale,South Eastern,2.00am,4.30am,2016-06-24 04:30:00,E07000004,Aylesbury Vale
Bexley,London,2.00am ,4.30am,2016-06-24 04:30:00,E09000004,Bexley
Braintree,Eastern,1.00am,4.30am,2016-06-24 04:30:00,E07000067,Braintree
Broxtowe,East Midlands,2.00am,4.30am,2016-06-24 04:30:00,E07000172,Broxtowe
Chichester,South Eastern,1.30am,4.30am,2016-06-24 04:30:00,E07000225,Chichester
Christchurch,South West,12.00am,4.30am,2016-06-24 04:30:00,E07000048,Christchurch
Great Yarmouth,Eastern,1.30am,4.30am,2016-06-24 04:30:00,E07000145,Great Yarmouth
Hackney,London,1.30am,4.30am,2016-06-24 04:30:00,E09000012,Hackney
Isle of Wight,South Eastern,1.30am ,4.30am,2016-06-24 04:30:00,E06000046,Isle of Wight
Kingston upon Thames,London,2.30am ,4.30am,2016-06-24 04:30:00,E09000021,Kingston upon Thames
North Lincolnshire,Yorkshire & Humber,1.30am,4.30am,2016-06-24 04:30:00,E06000013,North Lincolnshire
Poole,South West,2.00am,4.30am,2016-06-24 04:30:00,E06000029,Poole
Sheffield,Yorkshire & Humber,2.30am,4.30am,2016-06-24 04:30:00,E08000019,Sheffield
Stockton-on-Tees,North East,1.30am,4.30am,2016-06-24 04:30:00,E06000004,Stockton-on-Tees
Teignbridge,South West,2.30am,4.30am,2016-06-24 04:30:00,E07000045,Teignbridge
Tewkesbury,South West,3.00am,4.30am,2016-06-24 04:30:00,E07000083,Tewkesbury
Warrington,North West,2.30am,4.30am,2016-06-24 04:30:00,E06000007,Warrington
Wiltshire,South West,2.00am,4.30am,2016-06-24 04:30:00,E06000054,Wiltshire
East Dorset,South West,2.00am ,4.30am ,2016-06-24 04:30:00,E07000049,East Dorset
South Oxfordshire,South Eastern,2.00am,4.30am ,2016-06-24 04:30:00,E07000179,South Oxfordshire
Spelthorne ,South Eastern,2.30am,4.30am ,2016-06-24 04:30:00,E07000213,Spelthorne
Vale of White Horse,South Eastern,2.00am ,4.30am ,2016-06-24 04:30:00,E07000180,Vale of White Horse
North Norfolk,Eastern,1.00-2.00am,5.00-6.00am,2016-06-24 06:00:00,E07000147,North Norfolk
Reigate & Banstead,South Eastern,2.00-3.00am,5.00-6.00am,2016-06-24 06:00:00,E07000211,Reigate and Banstead
South Gloucestershire,South West,2.00am,5.00-6.00am,2016-06-24 06:00:00,E06000025,South Gloucestershire
Aberdeenshire,Scotland,3.00am,5.00am,2016-06-24 05:00:00,S12000034,Aberdeenshire
Amber Valley,East Midlands,2.00- 2.30am,5.00am,2016-06-24 05:00:00,E07000032,Amber Valley
Blaby,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E07000129,Blaby
Bradford,Yorkshire & Humber,2.00am,5.00am,2016-06-24 05:00:00,E08000032,Bradford
Calderdale,Yorkshire & Humber,2.00am,5.00am,2016-06-24 05:00:00,E08000033,Calderdale
Central Bedfordshire,Eastern,2.00am,5.00am,2016-06-24 05:00:00,E06000056,Central Bedfordshire
Cheshire West,North West,3.30am,5.00am,2016-06-24 05:00:00,E06000050,Cheshire West and Chester
Coventry,West Midlands,2.00am,5.00am,2016-06-24 05:00:00,E08000026,Coventry
Derby,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E06000015,Derby
East Cambridgeshire,Eastern,2.00am,5.00am,2016-06-24 05:00:00,E07000009,East Cambridgeshire
East Devon,South West,2.30am,5.00am,2016-06-24 05:00:00,E07000040,East Devon
Glasgow City,Scotland,2:00 - 2:30am,5.00am,2016-06-24 05:00:00,S12000046,Glasgow City
Gravesham,South Eastern,2.30am,5.00am,2016-06-24 05:00:00,E07000109,Gravesham
Hounslow,London,2.00am,5.00am,2016-06-24 05:00:00,E09000018,Hounslow
Kensington and Chelsea,London,2.00am,5.00am,2016-06-24 05:00:00,E09000020,Kensington and Chelsea
Kettering,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E07000153,Kettering
Leeds,Yorkshire & Humber, 2.30am,5.00am,2016-06-24 05:00:00,E08000035,Leeds
Liverpool,North West,2.00am,5.00am,2016-06-24 05:00:00,E08000012,Liverpool
Luton,Eastern,1.30am,5.00am,2016-06-24 05:00:00,E06000032,Luton
Manchester,North West,2.30am,5.00am,2016-06-24 05:00:00,E08000003,Manchester
North Kesteven,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E07000139,North Kesteven
Richmond Upon Thames ,London,1.00am ,5.00am,2016-06-24 05:00:00,E09000027,Richmond upon Thames
Slough,South Eastern,2.00am,5.00am,2016-06-24 05:00:00,E06000039,Slough
South Ayrshire,Scotland,1.00am,5.00am,2016-06-24 05:00:00,S12000028,South Ayrshire
South Holland,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E07000140,South Holland
Tameside,North West,3.00am,5.00am,2016-06-24 05:00:00,E08000008,Tameside
West Devon,South West,2.00am,5.00am,2016-06-24 05:00:00,E07000047,West Devon
West Lindsey,East Midlands,2.00am,5.00am,2016-06-24 05:00:00,E07000142,West Lindsey
Wychavon,West Midlands,1.00am,5.00am,2016-06-24 05:00:00,E07000238,Wychavon
Highland,Scotland,3.00am ,5.00am ,2016-06-24 05:00:00,S12000017,Highland
Hillingdon,London,2.00am,5.00am ,2016-06-24 05:00:00,E09000017,Hillingdon
Plymouth,South West,2.00am ,5.00am ,2016-06-24 05:00:00,E06000026,Plymouth
Cotswold,South West,3.00am,5.30am,2016-06-24 05:30:00,E07000079,Cotswold
Fenland,Eastern,2.00am,5.30am,2016-06-24 05:30:00,E07000010,Fenland
Guildford,South Eastern,2.30am ,5.30am,2016-06-24 05:30:00,E07000209,Guildford
Herefordshire,West Midlands,3.00am,6:00-7:00am,2016-06-24 07:00:00,E06000019,"Herefordshire, County of"
Nottingham,East Midlands,2.00-3.00am,6.00-7.00am ,2016-06-24 07:00:00,E06000018,Nottingham
Bath & North East Somerset,South West,3.00am,6.00am,2016-06-24 06:00:00,E06000022,Bath and North East Somerset
Cherwell,South Eastern,2.00am,6.00am,2016-06-24 06:00:00,E07000177,Cherwell
Cornwall,South West,3.00am,6.00am,2016-06-24 06:00:00,E06000052,Cornwall
East Lindsey,East Midlands,2.30am,6.00am,2016-06-24 06:00:00,E07000137,East Lindsey
East Northamptonshire,East Midlands,2.00am,6.00am,2016-06-24 06:00:00,E07000152,East Northamptonshire
Hinckley & Bosworth,East Midlands,1.30am,6.00am,2016-06-24 06:00:00,E07000132,Hinckley and Bosworth
Maldon,Eastern,1.30am,6.00am,2016-06-24 06:00:00,E07000074,Maldon
Medway,South Eastern,1.30am,6.00am,2016-06-24 06:00:00,E06000035,Medway
Northampton,East Midlands,1.00am,6.00am,2016-06-24 06:00:00,E07000154,Northampton
Royal Borough of Windsor and Maidenhead,South Eastern,2.00am,6.00am,2016-06-24 06:00:00,E06000040,Windsor and Maidenhead
Rutland,East Midlands,2.00am,6.00am,2016-06-24 06:00:00,E06000017,Rutland
Sefton,North West,4.00am,6.00am,2016-06-24 06:00:00,E08000014,Sefton
Shropshire,West Midlands,1.30am ,6.00am,2016-06-24 06:00:00,E06000051,Shropshire
South Kesteven,East Midlands,3.00am,6.00am,2016-06-24 06:00:00,E07000141,South Kesteven
South Northamptonshire,East Midlands,2.00am,6.00am,2016-06-24 06:00:00,E07000155,South Northamptonshire
Wealden,South Eastern,2.30am,6.00am,2016-06-24 06:00:00,E07000065,Wealden
Bristol,South West,2.00am ,6.00am ,2016-06-24 06:00:00,E06000023,"Bristol, City of"
Adur ,South Eastern,2.30am ,6.30am,2016-06-24 06:30:00,E07000223,Adur
Leicester,East Midlands,3.00am,6.30am,2016-06-24 06:30:00,E06000016,Leicester
North Somerset,South West,2.00am,6.30am,2016-06-24 06:30:00,E06000024,North Somerset
Winchester,South Eastern,2.00am,6.30am,2016-06-24 06:30:00,E07000094,Winchester
Worthing,South Eastern,2.30am ,6.30am,2016-06-24 06:30:00,E07000229,Worthing
Arun,South Eastern,3.00am,7.00am,2016-06-24 07:00:00,E07000224,Arun
Cheshire East,North West,4.00am,7.00am,2016-06-24 07:00:00,E06000049,Cheshire East
Harborough,East Midlands,2.30am ,7.00am,2016-06-24 07:00:00,E07000131,Harborough
Waveney,Eastern,5.00am,7.00am,2016-06-24 07:00:00,E07000206,Waveney
