Scottish Council Area 2011,All people,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100 and over
S12000011,90574,944,957,988,1041,1054,1044,1163,1100,1109,1142,1150,1169,1250,1248,1314,1228,1255,1323,1183,1105,1028,1076,1131,946,904,755,705,713,621,734,767,797,820,845,855,936,945,1023,1161,1203,1310,1264,1444,1450,1521,1509,1484,1628,1551,1485,1468,1428,1499,1406,1366,1349,1226,1198,1145,1139,1041,1123,1143,1214,1171,921,947,937,882,764,834,776,792,780,732,751,720,642,604,643,570,542,465,425,398,381,307,286,251,219,198,142,81,73,55,45,35,26,23,14,19
S12000036,476626,5753,5440,5330,5035,4605,4407,4085,4057,3935,4010,4044,4101,4231,4320,4366,4483,4426,4708,6408,8504,9936,9609,9766,9626,8885,9086,9307,8982,8959,8990,8304,8416,7692,7132,6989,6853,6812,6743,6656,7031,6535,6356,6553,6717,6620,6558,6733,6555,6749,6322,6383,6055,5988,5773,5695,5346,5170,5144,4891,4913,4854,4886,4874,5179,5268,3785,3836,3706,3529,3271,3149,3339,3190,3181,3095,2975,2814,2754,2598,2642,2579,2299,2101,1953,1813,1676,1421,1321,1129,1032,904,627,438,293,279,227,182,114,85,57,93
S12000013,27684,235,243,277,287,312,277,268,302,301,265,304,279,325,283,338,382,326,343,263,272,201,246,258,264,259,257,241,217,268,275,236,277,311,251,302,316,298,314,328,380,365,423,422,427,418,403,399,446,422,428,421,411,409,398,396,388,388,378,385,433,402,436,450,426,460,355,345,359,338,303,312,323,303,299,260,238,245,241,233,190,171,172,200,153,144,132,108,114,94,91,69,52,27,21,17,13,14,15,8,4,6
S12000014,155990,1786,1961,1903,1863,1826,1802,1740,1697,1602,1570,1673,1696,1818,1797,1864,1779,1872,1866,1866,1938,1919,1713,1656,1807,1707,1739,1867,1794,1898,2012,1984,2071,2010,1875,1853,2057,2153,2221,2307,2523,2477,2376,2611,2602,2532,2534,2581,2518,2388,2408,2409,2193,2219,2130,2094,1970,1876,1861,1873,1893,1956,2021,1929,2038,2120,1511,1608,1587,1474,1371,1287,1371,1347,1287,1208,1162,1118,993,931,856,837,725,716,561,558,510,437,396,290,292,249,184,108,78,71,55,43,19,24,12,20
S12000015,365198,4116,4311,4213,4122,4013,3957,3991,3788,3649,3771,3814,3874,4135,4102,4261,4280,4416,4436,4520,5012,5240,5078,4952,4634,4237,4319,4049,4067,4153,4214,4402,4289,4124,3938,4034,4226,4365,4432,4803,5209,5336,5245,5627,5536,5701,5619,5663,5633,5528,5564,5406,5312,5272,5221,4941,4721,4669,4574,4539,4478,4626,4693,4971,5258,5448,3971,4226,4071,3783,3478,3143,3310,3168,3012,3019,2862,2613,2477,2280,2193,2065,1887,1756,1542,1480,1425,1149,1041,858,715,725,493,326,250,183,189,133,88,61,36,63
S12000046,593245,7237,6908,6467,6396,5965,5670,5572,5334,5215,5268,5706,5711,5720,6034,6146,6278,6058,6574,9194,11254,11020,11060,11592,11799,11171,11377,11169,10826,10931,10741,10576,9995,9303,8426,7839,8164,7670,7739,8095,8401,8600,8424,8758,8729,8547,8661,8851,8753,8718,8516,8133,7805,7682,7403,7313,6930,6551,6139,5992,5624,5634,5545,5574,5878,5719,4527,4578,4537,4410,4087,4014,4142,4151,4090,3874,3733,3805,3321,3212,3275,2973,2662,2438,2063,1915,1845,1592,1306,1174,1105,872,718,417,312,291,225,168,119,71,42,101
S12000017,232132,2457,2424,2645,2652,2527,2442,2534,2481,2456,2495,2589,2498,2819,2810,2716,2853,2877,2944,2346,2230,2222,2075,2310,2459,2505,2494,2532,2468,2607,2736,2784,2551,2507,2343,2352,2590,2612,2684,2874,3149,3182,3292,3296,3534,3575,3702,3847,3738,3658,3553,3670,3486,3526,3420,3388,3335,3320,3321,3318,3318,3187,3333,3400,3610,3434,2735,2706,2873,2673,2287,2244,2246,2122,2072,1905,1841,1754,1673,1541,1567,1343,1309,1202,1018,913,880,743,666,599,490,458,302,214,175,137,100,96,48,28,33,47
S12000018,81485,811,833,846,885,829,830,853,800,790,739,845,877,920,898,958,1018,1012,967,1029,1069,1036,1008,975,996,984,1019,930,921,910,946,916,903,839,840,794,860,972,913,1013,1087,1187,1154,1187,1332,1280,1323,1391,1376,1425,1401,1354,1266,1272,1185,1210,1115,1103,1020,1029,1048,1053,1073,1030,1107,1117,897,866,925,848,745,763,757,729,709,677,705,591,573,573,575,537,452,426,347,324,303,231,242,211,172,164,108,100,56,50,38,25,17,17,13,10
S12000019,83187,951,995,961,1032,939,982,971,924,872,932,983,1014,1045,976,1029,997,1044,1081,981,1058,1011,899,984,972,900,903,853,865,925,911,963,981,938,894,932,958,1001,1052,1096,1197,1273,1257,1293,1295,1302,1253,1322,1338,1387,1205,1308,1188,1218,1232,1182,1114,1074,1085,1100,1063,1116,1091,1180,1168,1238,915,947,929,809,735,778,695,718,708,596,664,591,544,487,488,444,426,358,307,294,253,225,205,170,145,131,99,58,44,39,32,23,14,17,6,9
S12000020,93295,987,1057,1073,1125,1004,986,995,926,997,983,981,1107,1121,1203,1226,1273,1231,1265,1079,1069,950,972,1045,1043,1001,1097,1101,1079,1015,1034,1064,1019,1063,941,972,1040,1036,1096,1219,1353,1379,1321,1432,1464,1435,1469,1435,1473,1430,1418,1316,1354,1282,1350,1294,1243,1193,1203,1174,1197,1220,1220,1231,1320,1392,1023,1107,1043,1005,927,920,892,867,841,756,776,773,705,637,619,559,500,500,419,397,338,306,239,222,187,190,127,89,74,48,39,39,20,17,8,13
